planName,skillLevel,goal,equipment,durationMinutes,focus,exercises,exerciseDetails
Beginner Fat Loss - 10-20 minutes (None),Beginner,Fat Loss,None,15,Fat Loss,Leg Swings;Jumping Jacks;High Knees;Shuttle Runs,"[{""name"": ""Leg Swings"", ""duration"": 47, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 71, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 55, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 147, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Fat Loss - 5-10 minutes (Gym),Beginner,Fat Loss,Gym,1,Fat Loss,Jumping Jacks;Arm Circles,"[{""name"": ""Jumping Jacks"", ""duration"": 42, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Intermediate Endurance - 5-10 minutes (None),Intermediate,Endurance,None,5,Endurance,Butt Kicks;High Knees;Mountain Climbers,"[{""name"": ""Butt Kicks"", ""duration"": 57, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 79, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Endurance - 20+ minutes (None),Intermediate,Endurance,None,24,Endurance,Jumping Jacks;Arm Circles;Leg Swings;Jogging,"[{""name"": ""Jumping Jacks"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 50, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jogging"", ""duration"": 596, ""sets"": 2, ""rest"": 20, ""category"": ""endurance""}]"
Pro Power - 5-10 minutes (None),Pro,Power,None,5,Power,High Knees;Tuck Jumps,"[{""name"": ""High Knees"", ""duration"": 75, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 55, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 10-20 minutes (Gym),Pro,Power,Gym,15,Power,Butt Kicks;Leg Swings;Tuck Jumps;Medicine Ball Slams;Plyometric Push-ups,"[{""name"": ""Butt Kicks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 111, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 46, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Medicine Ball Slams"", ""duration"": 65, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 52, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 10-20 minutes (Kettlebell),Pro,Power,Kettlebell,16,Power,Jumping Jacks;Butt Kicks;Broad Jumps;Jump Squats,"[{""name"": ""Jumping Jacks"", ""duration"": 132, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 67, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 100, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 59, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Beginner Endurance - 10-20 minutes (None),Beginner,Endurance,None,11,Endurance,Arm Circles;Leg Swings;Butt Kicks;Jogging;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 61, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 41, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jogging"", ""duration"": 157, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}, {""name"": ""Mountain Climbers"", ""duration"": 60, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Endurance - 10-20 minutes (Gym),Beginner,Endurance,Gym,1,Endurance,Arm Circles;Jumping Jacks,"[{""name"": ""Arm Circles"", ""duration"": 32, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 57, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Beginner Endurance - 5-10 minutes (Gym),Beginner,Endurance,Gym,4,Endurance,Jumping Jacks;Shuttle Runs,"[{""name"": ""Jumping Jacks"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 78, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Pro Fat Loss - 10-20 minutes (Kettlebell),Pro,Fat Loss,Kettlebell,16,Fat Loss,Leg Swings;High Knees;Broad Jumps;Tuck Jumps;Jump Squats,"[{""name"": ""Leg Swings"", ""duration"": 84, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 102, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Tuck Jumps"", ""duration"": 67, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 89, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Beginner Fat Loss - 20+ minutes (Kettlebell),Beginner,Fat Loss,Kettlebell,6,Fat Loss,Leg Swings;Jumping Jacks;Arm Circles;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 37, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 81, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Stamina - 5-10 minutes (Kettlebell),Intermediate,Stamina,Kettlebell,6,Stamina,Jumping Jacks;Broad Jumps;Tuck Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 38, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Tuck Jumps"", ""duration"": 30, ""sets"": 2, ""rest"": 30, ""category"": ""power""}]"
Pro Power - 5-10 minutes (Gym),Pro,Power,Gym,8,Power,Leg Swings;Broad Jumps,"[{""name"": ""Leg Swings"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 81, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 5-10 minutes (Kettlebell),Pro,Power,Kettlebell,2,Power,Arm Circles,"[{""name"": ""Arm Circles"", ""duration"": 111, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Endurance - 5-10 minutes (Gym),Pro,Endurance,Gym,6,Endurance,Arm Circles;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 149, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Endurance - 5-10 minutes (None),Intermediate,Endurance,None,4,Endurance,Arm Circles;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 45, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Stamina - 20+ minutes (None),Intermediate,Stamina,None,19,Stamina,Leg Swings;Butt Kicks;Jumping Jacks;Broad Jumps;Explosive Lunges;Jump Rope,"[{""name"": ""Leg Swings"", ""duration"": 73, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 106, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Broad Jumps"", ""duration"": 67, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Explosive Lunges"", ""duration"": 45, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Jump Rope"", ""duration"": 294, ""sets"": 2, ""rest"": 30, ""category"": ""endurance""}]"
Pro Endurance - 20+ minutes (Kettlebell),Pro,Endurance,Kettlebell,28,Endurance,Butt Kicks;High Knees;Leg Swings;Mountain Climbers;Shuttle Runs;HIIT Sprints,"[{""name"": ""Butt Kicks"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 84, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 105, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Shuttle Runs"", ""duration"": 297, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""HIIT Sprints"", ""duration"": 214, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Fat Loss - 10-20 minutes (Gym),Beginner,Fat Loss,Gym,15,Fat Loss,Leg Swings;Jumping Jacks;High Knees;Shuttle Runs;Jump Squats,"[{""name"": ""Leg Swings"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 47, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 91, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Jump Squats"", ""duration"": 56, ""sets"": 3, ""rest"": 39, ""category"": ""power""}]"
Pro Stamina - 5-10 minutes (Kettlebell),Pro,Stamina,Kettlebell,8,Stamina,High Knees;Jump Squats;Explosive Lunges,"[{""name"": ""High Knees"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 106, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Explosive Lunges"", ""duration"": 62, ""sets"": 2, ""rest"": 24, ""category"": ""power""}]"
Intermediate Power - 10-20 minutes (None),Intermediate,Power,None,13,Power,Arm Circles;Leg Swings;Plyometric Push-ups;Jump Squats;Broad Jumps,"[{""name"": ""Arm Circles"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 35, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 51, ""sets"": 4, ""rest"": 30, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 42, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Pro Stamina - 20+ minutes (Gym),Pro,Stamina,Gym,23,Stamina,Jumping Jacks;Leg Swings;Arm Circles;Plyometric Push-ups;Mountain Climbers;Kettlebell Swings;Medicine Ball Slams,"[{""name"": ""Jumping Jacks"", ""duration"": 109, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 110, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 113, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 44, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 139, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Kettlebell Swings"", ""duration"": 178, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Medicine Ball Slams"", ""duration"": 65, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Beginner Endurance - 10-20 minutes (Gym),Beginner,Endurance,Gym,6,Endurance,Leg Swings;Jumping Jacks;Arm Circles;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 50, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 66, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 57, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 61, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Power - 20+ minutes (Gym),Beginner,Power,Gym,8,Power,Leg Swings;Arm Circles;Jumping Jacks;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 42, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 80, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 61, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Power - 5-10 minutes (Kettlebell),Beginner,Power,Kettlebell,5,Power,Leg Swings;High Knees;Jump Squats,"[{""name"": ""Leg Swings"", ""duration"": 42, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 59, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 47, ""sets"": 3, ""rest"": 39, ""category"": ""power""}]"
Intermediate Fat Loss - 10-20 minutes (None),Intermediate,Fat Loss,None,16,Fat Loss,Leg Swings;High Knees;HIIT Sprints,"[{""name"": ""Leg Swings"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 71, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""HIIT Sprints"", ""duration"": 255, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Power - 20+ minutes (Gym),Beginner,Power,Gym,27,Power,Leg Swings;High Knees;Jumping Jacks;Jump Squats;Circuit Training,"[{""name"": ""Leg Swings"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 38, ""sets"": 4, ""rest"": 39, ""category"": ""power""}, {""name"": ""Circuit Training"", ""duration"": 364, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Stamina - 5-10 minutes (None),Intermediate,Stamina,None,6,Stamina,Leg Swings;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 76, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 47, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 67, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Pro Fat Loss - 10-20 minutes (Kettlebell),Pro,Fat Loss,Kettlebell,12,Fat Loss,Arm Circles;Leg Swings;Plyometric Push-ups,"[{""name"": ""Arm Circles"", ""duration"": 94, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 85, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 113, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 20+ minutes (Kettlebell),Pro,Power,Kettlebell,20,Power,High Knees;Butt Kicks;Arm Circles;Mountain Climbers;Plyometric Push-ups,"[{""name"": ""High Knees"", ""duration"": 93, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 113, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 98, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 119, ""sets"": 4, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Plyometric Push-ups"", ""duration"": 96, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Fat Loss - 10-20 minutes (None),Pro,Fat Loss,None,17,Fat Loss,Leg Swings;Butt Kicks;Tuck Jumps;Burpees,"[{""name"": ""Leg Swings"", ""duration"": 92, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 45, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Burpees"", ""duration"": 127, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Beginner Power - 10-20 minutes (Gym),Beginner,Power,Gym,2,Power,Arm Circles;Jumping Jacks,"[{""name"": ""Arm Circles"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Fat Loss - 5-10 minutes (Gym),Pro,Fat Loss,Gym,6,Fat Loss,Arm Circles;Battle Ropes;Medicine Ball Slams,"[{""name"": ""Arm Circles"", ""duration"": 76, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Battle Ropes"", ""duration"": 42, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Medicine Ball Slams"", ""duration"": 71, ""sets"": 2, ""rest"": 24, ""category"": ""power""}]"
Beginner Stamina - 5-10 minutes (Kettlebell),Beginner,Stamina,Kettlebell,1,Stamina,Jumping Jacks,"[{""name"": ""Jumping Jacks"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Beginner Endurance - 10-20 minutes (Kettlebell),Beginner,Endurance,Kettlebell,14,Endurance,High Knees;Butt Kicks;Arm Circles;Shuttle Runs;Brisk Walking,"[{""name"": ""High Knees"", ""duration"": 31, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 40, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 50, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 98, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Brisk Walking"", ""duration"": 211, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}]"
Beginner Power - 20+ minutes (Kettlebell),Beginner,Power,Kettlebell,22,Power,Arm Circles;Jumping Jacks;Leg Swings;Circuit Training;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 82, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 51, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Circuit Training"", ""duration"": 249, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Mountain Climbers"", ""duration"": 46, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Stamina - 5-10 minutes (Kettlebell),Beginner,Stamina,Kettlebell,7,Stamina,Leg Swings;Jumping Jacks;Jump Squats;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 55, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 40, ""sets"": 2, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 35, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Stamina - 20+ minutes (None),Intermediate,Stamina,None,13,Stamina,Arm Circles;Jumping Jacks;Leg Swings;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 53, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 86, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 83, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 106, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Stamina - 5-10 minutes (Kettlebell),Beginner,Stamina,Kettlebell,7,Stamina,High Knees;Arm Circles;Jump Squats;Mountain Climbers,"[{""name"": ""High Knees"", ""duration"": 47, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 21, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 70, ""sets"": 2, ""rest"": 39, ""category"": ""stamina""}]"
Pro Endurance - 10-20 minutes (None),Pro,Endurance,None,16,Endurance,Jumping Jacks;Arm Circles;Tabata Intervals,"[{""name"": ""Jumping Jacks"", ""duration"": 111, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 102, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tabata Intervals"", ""duration"": 375, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Fat Loss - 10-20 minutes (Kettlebell),Beginner,Fat Loss,Kettlebell,15,Fat Loss,High Knees;Jumping Jacks;Butt Kicks;Jump Rope HIIT;Shuttle Runs,"[{""name"": ""High Knees"", ""duration"": 39, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 38, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Rope HIIT"", ""duration"": 118, ""sets"": 2, ""rest"": 39, ""category"": ""fatloss""}, {""name"": ""Shuttle Runs"", ""duration"": 124, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Pro Stamina - 10-20 minutes (None),Pro,Stamina,None,14,Stamina,Arm Circles;Leg Swings;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 75, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 105, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 52, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 126, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Power - 20+ minutes (Gym),Beginner,Power,Gym,10,Power,Butt Kicks;Jumping Jacks;Arm Circles;Jump Squats;Mountain Climbers,"[{""name"": ""Butt Kicks"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 25, ""sets"": 4, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 51, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Endurance - 10-20 minutes (Kettlebell),Intermediate,Endurance,Kettlebell,6,Endurance,Butt Kicks;Arm Circles;Mountain Climbers,"[{""name"": ""Butt Kicks"", ""duration"": 84, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 64, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Stamina - 20+ minutes (Gym),Beginner,Stamina,Gym,25,Stamina,Arm Circles;Leg Swings;High Knees;Circuit Training;Burpees,"[{""name"": ""Arm Circles"", ""duration"": 39, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 60, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Circuit Training"", ""duration"": 324, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Burpees"", ""duration"": 64, ""sets"": 3, ""rest"": 39, ""category"": ""power""}]"
Pro Endurance - 10-20 minutes (None),Pro,Endurance,None,8,Endurance,Leg Swings;Jumping Jacks;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 113, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 145, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 97, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Pro Endurance - 10-20 minutes (None),Pro,Endurance,None,14,Endurance,Arm Circles;Leg Swings;Tabata Intervals,"[{""name"": ""Arm Circles"", ""duration"": 92, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tabata Intervals"", ""duration"": 327, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Power - 10-20 minutes (Gym),Beginner,Power,Gym,12,Power,Jumping Jacks;Leg Swings;High Knees;Jump Squats;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 32, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 23, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 80, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
